AppID,Name,Primary_Genre,Price,Review_Score_Pct,Review_Count,Playtime_Hours,Languages_Count,Multiplayer,Cluster_Label
1432050,Nobody Saves the World,1,2,2,2,2,1,1,0
931000,URUZ Return of The Er Kishi,1,1,1,1,1,0,0,2
536220,The Walking Dead: A New Frontier,2,0,1,2,2,1,0,0
486120,Escape The Past,2,0,0,0,1,0,0,2
211120,The Political Machine,20,0,0,1,0,0,1,2
1477700,Project Wunderwaffe,1,1,0,1,1,1,0,1
389140,Horizon Chase Turbo,1,2,2,2,2,1,1,0
611300,Task Force,1,0,0,1,0,0,1,2
789660,Buggos,5,2,2,2,2,1,0,0
1173010,Flowers Blooming at the End of Summer,5,0,2,2,1,0,0,0
592030,Just In Time Incorporated,1,1,1,1,0,0,0,2
311690,Enter the Gungeon,1,1,2,2,2,1,1,0
1190170,OlliOlli World,1,1,2,2,1,1,0,0
2019360,World Cruise Story,5,1,2,0,2,0,0,0
2280520,Vampire Mansion,1,1,2,2,1,0,0,0
41000,Serious Sam HD: The First Encounter,1,0,2,2,1,0,1,0
241660,Ohm Studio,4,0,0,1,2,0,0,1
2232180,Backrooms Descent: Multiplayer Horror,1,1,0,0,0,1,1,1
386260,Microcosmum: survival of cells,1,1,1,2,1,1,0,0
593200,The Adventures of Fei Duanmu 端木斐异闻录,2,1,2,2,1,0,0,0
2657720,Alchemist Quest,2,2,1,0,2,0,0,2
2501600,DICEOMANCER,5,2,2,2,2,1,0,0
415530,"Fly, Glowfly!",5,1,1,0,1,0,0,2
510490,The Fall Part 2: Unbound,1,2,1,1,1,0,0,2
233980,UnEpic,1,2,2,2,2,1,1,0
515980,The Horus Heresy: Battle of Tallarn - Iron Edition,20,0,0,0,0,0,0,1
299820,Paradigm Shift,2,0,0,0,0,0,0,1
682080,Pato Box,1,1,1,0,0,0,0,2
1830970,The Last Flame,2,2,1,2,2,1,0,0
704000,GUNHEAD,1,1,1,1,0,0,0,2
580720,Carrier Deck,18,2,2,2,2,0,0,0
731180,Coffee Run,1,0,1,0,1,0,0,2
204120,LEGO® Harry Potter: Years 5-7,2,1,2,2,2,0,1,0
16900,GROUND BRANCH,1,2,2,2,2,0,1,0
2788150,Sakura Succubus 9,18,1,2,0,0,0,0,0
1253390,Yukikoi Melt,2,2,2,0,0,0,0,0
895670,Armajet,1,0,1,1,1,1,1,0
897730,Among Trees,2,2,0,2,2,0,0,2
385830,Burgers,1,0,0,1,1,0,1,1
674130,Bare Metal,9,0,1,0,0,0,1,0
817720,Cricket Captain 2018,18,2,0,0,2,0,1,2
3389760,HoloRun,1,1,0,0,0,0,1,1
397160,Aurora Dusk: Steam Age,11,2,1,1,0,0,1,0
540020,Final Quest II,11,0,0,1,1,0,0,1
2124490,SILENT HILL 2,1,2,2,2,2,1,0,0
2430730,My Child Lebensborn Remastered,11,2,2,2,1,1,0,0
2634890,MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,1,2,2,2,1,1,1,0
1092400,月球坠落时 Moon Fall,11,1,2,2,1,0,0,0
294040,Loot Hero DX,1,0,1,2,1,0,0,2
1919460,Seraph's Last Stand,1,0,2,2,2,0,0,0
761640,Home Darkness - Escape?,2,0,0,0,1,0,0,1
2322180,A Tiny Sticker Tale,2,1,2,1,0,1,0,0
914800,Coffee Talk,2,2,2,2,1,1,0,0
2172010,Until Dawn™,2,2,1,2,2,1,0,0
1823950,Laysara: Summit Kingdom,11,2,1,2,0,1,0,0
2702490,TETRACHROMA,1,1,2,0,1,0,0,0
497190,Pichon,1,1,2,0,0,1,0,0
1341210,Afterinfection,1,0,0,1,1,0,1,1
632070,The Fidelio Incident,2,2,1,2,0,0,0,2
32150,Everyday Genius: SquareLogic,5,1,2,1,2,0,0,0
449710,REDCON,11,2,1,1,2,1,0,0
1702430,Vlad Circus: Descend Into Madness,2,1,2,0,2,0,0,0
3275010,Rogue Loops,1,2,1,1,1,1,0,2
733760,MegaRace 2,1,0,1,0,0,0,0,0
497080,Construct: Escape the System,1,0,1,0,2,1,0,2
856890,JUSTICE SUCKS: Tactical Vacuum Action,1,1,2,1,0,1,0,0
574560,"Dude, Stop",2,2,1,2,1,0,0,0
798850,Achievement Lurker: Easiest Cosmetic Numbers,2,0,1,0,1,0,0,0
512560,HoCWar,9,0,0,0,0,0,1,1
1329880,Wild West Dynasty,2,2,0,2,1,1,0,1
1121640,The Wandering Village,18,2,2,2,2,1,0,0
581340,Narborion Saga,2,0,0,0,1,0,1,1
715690,Putrefaction 2: Rumble in the hometown,22,0,1,0,0,0,0,2
296180,Iron Storm,1,0,0,0,0,0,1,2
297660,Super Rad Raygun,1,0,2,0,0,0,0,0
402180,Sakura Swim Club,5,1,1,2,1,0,0,0
1198310,Mr.King Luo!Don't be kidding,11,1,0,0,0,0,0,2
689910,Another Lost Phone: Laura's Story,5,0,2,2,1,1,0,0
937170,Otaku's Adventure,2,1,2,2,2,1,0,0
1307690,The Darkest Tales,1,2,0,2,1,1,0,2
795040,E.Z,11,0,2,1,0,0,0,0
416800,Cluck Yegger in Escape From The Planet of The Poultroid,1,1,0,0,0,0,0,2
225840,Sven Co-op,1,0,2,2,2,0,1,0
313650,Time Mysteries 2: The Ancient Spectres,5,1,0,1,1,1,0,1
477800,Piñata,5,0,0,0,0,0,0,1
