AppID,Name,Primary_Genre,Price,Review_Score_Pct,Review_Count,Playtime_Hours,Languages_Count,Multiplayer
2995480,AsiaKingdom,Casual,0.0,0.8954923916164226,9.399087857327019e-05,0.0,0.009708737864077669,0
1370430,Police Chase,Casual,0.011648429226967879,0.6034858387799564,1.2072222936016357e-05,0.0,0.009708737864077669,0
253750,Ikaruga,Action,0.058712789739969413,0.9444860965328803,0.0018996505091460022,0.0007971029793703414,0.019417475728155338,1
1204760,James Town Courier Frog MD,Action,0.006471349570537711,0.8847736625514402,2.1557540957172066e-05,0.0,0.009708737864077669,0
766630,Dust and Salt,Adventure,0.031886104247558535,0.8318318318318318,4.656428846749166e-05,0.0005806710445744209,0.009708737864077669,0
2458530,魔女的夜宴,Adventure,0.2593246264266384,0.9861728395061728,0.007549450843201657,0.004708714288730759,0.029126213592233007,0
3023600,Horse Farm Simulator,Casual,0.14107542063772208,0.7606837606837609,1.6383731127450766e-05,0.0,0.11650485436893203,0
509110,Spikit,Casual,0.011648429226967879,0.7925925925925925,0.00035354367169762184,0.001356658713232965,0.009708737864077669,0
313730,Sunrider: Mask of Arcadius,Indie,0.0,0.9213462204116409,0.00238167712494837,0.0027185962541438798,0.009708737864077669,0
1842610,Dungeon Wizards,Casual,0.032827391457818565,0.9090318388564003,3.1905160616614654e-05,0.0,0.019417475728155338,0
1162680,[Chilla's Art] Stigmatized Property | 事故物件,Action,0.028120955406518416,0.8078333924979293,0.0010623556183694393,0.0004011909035241453,0.2815533980582524,0
2516990,Gunner-chan!,Action,0.11754324038122133,0.9135802469135801,7.588254416924566e-05,0.0,0.04854368932038834,0
1267170,Carestia,Action,0.011648429226967879,0.9481481481481482,0.0,0.0,0.09708737864077668,0
854450,Arlo The Rabbit,Action,0.021061301329568186,0.9528619528619529,1.7246032765737657e-06,0.0,0.009708737864077669,0
1421250,Tiny Bunny,Adventure,0.09695258265678315,0.9634011816794354,0.016890764490763457,0.0035262568888701196,0.058252427184466014,0
2707300,Cosmic Collapse,Casual,0.02635604188728086,0.9899316792520676,7.157103597781125e-05,0.0,0.009708737864077669,0
237890,Agarest: Generations of War,Adventure,0.03518060948346865,0.7029818123483527,0.0015754250931501344,0.004967376844950274,0.009708737864077669,0
418240,Shadow Tactics: Blades of the Shogun,Indie,0.04694669961171903,0.9590610295017201,0.032092280072122906,0.002892797567516206,0.1262135922330097,0
460850,Allumette,Casual,0.0,0.9367868692415644,0.0005061710616744,9.501889820308705e-05,0.009708737864077669,0
529060,Space Simulator,Simulation,0.11754324038122133,0.3324074074074074,0.00012072222936016355,0.0007495935302687978,0.009708737864077669,0
303610,Suicide Guy,Action,0.008353923991057772,0.8769163560907018,0.002322178311906575,0.0008604489115057329,0.1553398058252427,0
2086810,Golden Rails: World’s Fair,Adventure,0.024591128368043298,0.9481481481481482,0.0,0.005632509132371883,0.029126213592233007,0
881050,獣王/BEAST KING,Simulation,0.09401106012472056,0.7407407407407407,0.0,0.0,0.019417475728155338,0
3302960,Dark Times,Indie,0.009295211201317802,0.9567901234567902,3.4492065531475314e-06,0.0,0.009708737864077669,0
787860,Farming Simulator 19,Simulation,0.21167196140722436,0.9420193176290739,0.06432770221620145,0.053654004518676496,0.17475728155339804,1
8970,Axel & Pixel,Indie,0.014589951759030474,0.7083333333333333,6.553492450980308e-05,0.002090415760467915,0.04854368932038834,0
46510,Syberia II,Adventure,0.03047417343216849,0.8561013505438031,0.002387713236416378,0.0013619375409109145,0.06796116504854369,0
1259560,Britannic: Patroness of the Mediterranean,Casual,0.08812801506059537,0.8968122351206926,0.0006760444844169159,0.0004381426972697903,0.009708737864077669,0
1334070,Sleep,Action,0.011648429226967879,0.37149270482603813,1.1209921297729472e-05,0.0,0.019417475728155338,0
407150,Trap Them - Sniper Edition,Action,0.04694669961171903,0.4681861348528015,1.6383731127450766e-05,0.0011613420891488418,0.009708737864077669,0
