Model,SMOTE,Accuracy_Mean,Accuracy_Std,Precision_Macro_Mean,Precision_Macro_Std,Recall_Macro_Mean,Recall_Macro_Std,F1_Macro_Mean,F1_Macro_Std
RandomForest,False,0.4946666666666667,0.016831187982103018,0.4316160612825323,0.018933258444881675,0.4139005635327511,0.014754482128172538,0.41526842289658317,0.015526480811128224
RandomForest,True,0.4658666666666667,0.014890116035664576,0.4305328741811173,0.012169204653442548,0.4488356954278902,0.012616646873457399,0.42983248383615885,0.012534680691778174
SVM,False,0.4966,0.010429445495007563,0.49079185375968293,0.06575813494065563,0.36378368041956083,0.009336361871150061,0.32196859117233995,0.013371955255905087
SVM,True,0.3925333333333333,0.014827302144654934,0.39749783430452995,0.015073121126307296,0.4183602895989849,0.013900736510075689,0.3695099547746386,0.013610177884036071
