k,inertia
1,184.71944340269977
2,82.1573953506296
3,56.941015892362046
4,46.820651462720654
5,37.1604426639838
6,32.159983266060934
7,27.99230571735371
8,25.09324769453108
9,22.47288570777745
10,20.214750394852707
